名称,英文,cw原价(RRP),优惠额度,优惠价,重量 克,件数,箱重(克),单价,件数,需补邮费,运费,成本比,汇率,注释
001P_Blackmores_澳佳宝VE面霜50g 维生素E补水润肤霜澳洲进口冰冰霜,Blackmores Vitamin E Cream 50G,$14.99,$3.30,$11.69 ,67,3 ,200 , CN¥	90 ,1 ,CN¥43,7,1.42857,5,
002P_swisse奶蓟草护肝片120粒解酒排毒滋补肝脏护肝养肝保肝,Swisse Ultiboost Liver Detox 120 Tablets,$32.99,$16.50,$16.49 ,160,3 ,200 , CN¥	129 ,1 ,CN¥39,7,1.42857,5,
003P_6_澳洲Goat Soap羊奶皂100g乘6块组合洁面洗脸控油补水纯手工天然皂 ,Goat Soap 100g,$2.99,$0.99,$2.00 ,100,6 ,200 , CN¥	21 ,6 ,CN¥10,7,1.42857,5,单件价
005P_Healthy Care_葡萄籽皙颜精华胶囊12000mg 300粒 美白淡斑澳洲进口,Healthy Care Grape Seed Extract 12000 Gold Jar 300 Capsules,$29.99,$4.00,$25.99 ,235,3 ,200 , CN¥	201 ,1 ,CN¥35,7,1.42857,5,
006P_Healthy Care高浓缩蔓越莓胶囊90粒呵护泌尿系统保养卵巢,Healthy Care Super Cranberry 25000 90 Capsules,$15.99,$2.00,$13.99 ,150,3 ,200 , CN¥	111 ,1 ,CN¥39,7,1.42857,5,
007P_Healthy Care黑蜂胶软胶囊2000mg200粒提高免疫力降,Healthy Care Propolis 2000mg 200 Capsules,$21.99,$2.00,$19.99 ,426,3 ,200 , CN¥	167 ,1 ,CN¥25,7,1.42857,5,
008P_Cenovis无糖维生素C咀嚼片300片 天然美白维c提高免疫,Cenovis Vitamin C 500mg Sugarless 300 Tablets,$13.43,$4.96,$8.47 ,200,3 ,200 , CN¥	74 ,1 ,CN¥37,7,1.42857,5,
010P_Healthy Care大豆卵磷脂胶囊100粒血管清道夫 降三高,Healthy Care Lecithin 1200mg 100,$9.99,$1.00,$8.99 ,245,3 ,200 , CN¥	80 ,1 ,CN¥34,7,1.42857,5,
011P_swisse胶原蛋白液体口服液 血橙精华500ml美白美容养颜,Swisse Ultiboost Hair Skin Nails 500ml,$40.95,$22.96,$17.99 ,569,3 ,200 , CN¥	160 ,1 ,CN¥18,7,1.42857,5,
012P_healthy care澳洲进口深海鱼油软胶囊1000mg 400粒中老年调节三高,Healthy Care Fish Oil 1000mg 400 Capsules,,,$14.99 ,520,3 ,245 , CN¥	137 ,1 ,CN¥20,7,1.42857,5,
013P_Blackmores澳佳宝氨基葡萄糖氨糖维骨力 关节灵关节痛1500mg180粒 ,Blackmores Glucosamine 1000mg 300 Tablets,$55.99,$20.00,$35.99 ,455,6 ,200 , CN¥	281 ,1 ,CN¥26,7,1.42857,5,
014P_bio island乳钙_婴幼儿童液体钙软胶囊 澳洲进口宝宝乳钙90粒,Bio Island Milk Calcium 90 Capsules,$25.95,$5.96,$19.99 ,112,3 ,200 , CN¥	152 ,1 ,CN¥41,7,1.42857,5,
015P_Swisse活力胶原蛋白片 营养保健美白美容养颜 100粒,Swisse Ultiboost Hair Skin Nails+ 100 Tablets,$32.95,$13.96,$18.99 ,128,3 ,200 , CN¥	145 ,1 ,CN¥40,7,1.42857,5,
016P_Bio Island婴幼儿补锌小熊咀嚼片120粒,Bio Island Zinc 120 Chewable Tablets,$19.00,$2.01,$16.99 ,102,3 ,200 , CN¥	130 ,1 ,CN¥42,7,1.42857,5,
017P_Swisse 澳洲西芹籽 芹菜籽精华 5000mg 50粒辅助降尿酸缓解通风,Swisse Ultiboost High Strength Celery 5000 mg 50 Caps,$24.99,$10.00,$14.99 ,46,3 ,200 , CN¥	113 ,1 ,CN¥44,7,1.42857,5,
018P_Swisse叶绿素液梅子味500ml 清体排毒 抗氧化排毒养颜,Swisse Chlorophyll Mixed Berry 500ml,$24.99,$7.00,$17.99 ,568,3 ,245 , CN¥	161 ,1 ,CN¥18,7,1.42857,5,
019P_Blackmores_澳佳宝月见草油软胶囊190粒调节内分泌保养卵巢,Blackmores Evening Primrose Oil 190 Capsules,$36.99,$17.00,$19.99 ,318,3 ,245 , CN¥	163 ,1 ,CN¥30,7,1.42857,5,
020P_swisse蔓越莓胶囊30粒高浓度精华 呵护泌尿系统保养卵巢,"Swisse Ultiboost High Strength Cranberry 25,000mg 30 Capsules",$23.95,$8.96,$14.99 ,81,3 ,200 , CN¥	114 ,1 ,CN¥43,7,1.42857,5,
021P_Bio Island DHA海藻油胶囊60粒多种维他命儿童DHA,Bio Island DHA 60 Capsules,$19.95,$1.96,$17.99 ,69,3 ,200 , CN¥	135 ,1 ,CN¥43,7,1.42857,5,
022P_sudocrem英国屁屁霜去黑头粉刺祛痘疤清毛孔膏状面膜125g,Sudocrem Healing Cream 125g for Nappy Rash,$10.99,$2.00,$8.99 ,152,3 ,200 , CN¥	81 ,1 ,CN¥33,7,1.42857,5,
023P_Healthy Care Q10辅酶Q10胶囊150mg100粒心脏保护神,Healthy Care CoEnzyme Q10 150mg 100 Capsules,$32.99,$7.00,$25.99 ,268,3 ,200 , CN¥	202 ,1 ,CN¥33,7,1.42857,5,重量为估算值
024P_Blackmores_澳佳宝无腥味深海鱼油软胶囊_护心脑_1000mg500粒,Blackmores Odourless Fish Oil 1000mg Bulk Pack 500 Capsules,$31.99,$2.00,$29.99 ,794,3 ,245 , CN¥	258 ,1 ,超过1KG,7,1.42857,5,
026P_Blackmores 澳佳宝芹菜籽50粒西芹籽 辅助降尿酸改善通风,Blackmores Celery 3000 50 Tablets,$19.00,$5.00,$14.00 ,166,3 ,200 , CN¥	112 ,1 ,CN¥38,7,1.42857,5,
027P_Vicks息可舒植物婴幼儿舒缓膏 通鼻膏baby balsam 50g,Vicks Vaporub Baby Balsam 50g,$9.99,$2.00,$7.99 ,73,3 ,200 , CN¥	64 ,1 ,CN¥43,7,1.42857,5,
028P_Bio Island鱼油Cod liver+fish Bio Island鳕鱼肝+鱼油90粒,Bio Island Cod Liver + Fish Oil 90 Capsules,$25.95,$5.96,$19.99 ,89,3 ,200 , CN¥	151 ,8 ,-CN¥12,7,1.42857,5,
030P_Swisse叶绿素薄荷味 排毒养颜清热排毒清肠,Swisse Chlorophyll Spearmint 500ml,$24.99,$7.00,$17.99 ,561,3 ,245 , CN¥	161 ,1 ,CN¥18,7,1.42857,5,
031P_Ostelin儿童钙维生素咀嚼片儿童钙儿童维生素天然钙50片,Ostelin Vitamin D & Calcium Kids Chewable 50,$14.95,$4.96,$9.99 ,100,3 ,200 , CN¥	80 ,1 ,CN¥42,7,1.42857,5,
032P_Blackmores澳佳宝孕妇黄金营养素180粒 含叶酸保护胎儿,Blackmores Pregnancy and Breastfeeding Gold 180 Capsules,$64.99,$30.00,$34.99 ,318,3 ,200 , CN¥	269 ,1 ,CN¥31,7,1.42857,5,
033P_Redwin纯天然茶树油洗发水250ml 深层清洁修护去油护发,Redwin Tea Tree Shampoo 250ml,$4.40,$0.71,3.69,270,3 ,200 , CN¥	43 ,3 ,超过1KG,7,1.42857,5,
035P_Goat 山羊奶洗发水300ml送护发素250ml 婴儿孕妇,Goat Original Shampoo 300ml + Goat Original Conditioner 300ml,$16.00,$0.00,$16.00 ,700,1 ,200 , CN¥	159 ,1 ,CN¥5,7,1.42857,5,
036P_Goat Soap润肤乳山羊奶保湿润肤乳身体乳抗敏感 500ml,Goat Lotion Moisturising 500ml,$9.99,$0.00,$9.99 ,550,3 ,245 , CN¥	103 ,1 ,CN¥18,7,1.42857,5,
037P_Ostelin VD 婴儿童液体维生素D滴剂补钙草莓味20ml,Ostelin Vitamin D Kids Liquid 20ml,$15.99,$9.00,$6.99 ,71,3 ,200 , CN¥	57 ,1 ,CN¥43,7,1.42857,5,
039P_Nature’s Way佳思敏儿童维生素软糖60粒装,Nature's Way Kids Smart Vita Gummies Immunity 60 Pastilles,$16.24,$8.99,$7.25 ,162,3 ,200 , CN¥	63 ,1 ,CN¥39,7,1.42857,5,
040P_Hydrodol解酒胶囊40粒醒酒片 增加酒量减轻宿醉解酒护肝,Hydrodol Value Pack 40 Capsules,$32.99,$0.00,$32.99 ,60,3 ,200 , CN¥	242 ,1 ,CN¥44,7,1.42857,5,
041P_Nature's Way佳思敏儿童维生素C+锌软糖 60粒 VC 补锌,Nature's Way Kids Smart Vita Gummies Vitamin C 60 Gummies,$14.50,$5.51,$8.99 ,158,3 ,200 , CN¥	75 ,1 ,CN¥39,7,1.42857,5,
043P_Goat wash原味/椰奶/坚果/燕麦/蜂蜜/柠檬 羊奶沐浴露_滋润保湿孕妇敏感肌肤500ml,Goat Moisturising Body Wash 500ml,$7.99,$0.00,$7.99 ,550,3 ,245 , CN¥	89 ,1 ,CN¥18,7,1.42857,5,香味任意选择 价格相同
044P_Ostelin奥斯特林成人青少年中老年钙片维生素D+钙 300片,Ostelin Vitamin D & Calcium 300 Tablets,$34.99,$7.00,$27.99 ,577,3 ,245 , CN¥	233 ,1 ,CN¥17,7,1.42857,5,
045P_Redwin 250ml 煤焦油洗发水 深层清洁修护发质,Redwin Coal Tar Shampoo 250ml,$4.40,$0.71,$3.69,300,3 ,200 , CN¥	45 ,1 ,CN¥32,7,1.42857,5,
046P_Nature's Way澳洲儿童深海鱼油软胶囊佳思敏高DHA水果味180粒 ,Nature's Way Kids Smart Omega 3 Fish Oil Trio 180 Capsules,$44.95,$15.96,$28.99 ,228,3 ,200 , CN¥	222 ,1 ,CN¥35,7,1.42857,5,
048P_Swisse无腥味深海鱼油软胶囊1000mg 500粒omega3调节三高,Swisse Ultiboost Odourless Wild Fish Oil 1000mg 500 Capsules Exclusive Size,$19.99,$0.00,$19.99 ,770,3 ,245 , CN¥	185 ,1 ,超过1KG,7,1.42857,5,
050P_Nature'sWay佳思敏宝宝偏食软糖 儿童维生素C、D3 60粒,Nature's Way Kids Smart Vita Gummies Multi Vitamin for Fussy Eaters 60 Pastilles,$14.50,$5.51,$11.99 ,160,3 ,200 , CN¥	97 ,1 ,CN¥39,7,1.42857,5,
051P_morning fresh超浓缩洗洁精 原味+澳橙茶树400ml 2瓶,Morning Fresh Dishwashing Liquid+ Lemon Original 400ml *2,$4.99,$2.00,$2.99 ,900,3 ,245 , CN¥	70 ,1 ,超过1KG,7,1.42857,5,茶树/柠檬/原味 三选二 件数上限需核实
